Name,SMILES,Properties,Molecular Weight,LogP,Hydrogen Donors,Hydrogen Acceptors,Therapeutic Class,Chemical Structure Type,Origin,Half-Life,Metabolism,Protein Binding
Ramipril,CCCNC(=O)C1CCC(NC(=O)C(CCCN)N)C(C(=O)O)N1,Hypertension Medication,416.51,1.64,4,6,ACE Inhibitor,Angiotensin Converting Enzyme Inhibitor,Synthetic,13-17 hours,Liver,50-60%
Rosuvastatin,CN(C)C(=O)Nc1cc(C(=O)Nc2ccc(F)cc2)c(Cl)cc1OC1CC(O)C(O)CC1O,Cholesterol Medication,481.54,2.90,3,6,Lipid Lowering,Statin,Synthetic,19 hours,Liver,90%
Rivaroxaban,Cc1cc(Cl)c(NC(=O)C2(C(=O)NC(=O)N2C)C(F)(F)F)cc1Oc1ccccc1,Blood Thinner,435.84,3.47,2,5,Anticoagulant,Direct Factor Xa Inhibitor,Synthetic,5-9 hours,Liver,95%
Escitalopram,COC1=CC=C(C=C1)C(C(O)CN2CCN(C)CC2)C3=C(Cl)C=CC=C3Cl,Antidepressant,414.91,4.29,1,4,SSRI Antidepressant,Synthetic,Synthetic,27-32 hours,Liver,56%
Clopidogrel,COC(=O)C1=CC=C(C=C1)C(N)CC(=O)O,Antiplatelet Agent,321.34,3.2,2,4,Cardiovascular,Thienopyridine Derivative,Synthetic,8 hours,Liver,94-98%
Duloxetine,COC1=CC=C(C=C1)OCCN1CCC(CC1)C1=CC=CC=C1OC,Antidepressant,297.39,4.18,1,3,SNRI Antidepressant,Synthetic,Synthetic,12 hours,Liver,95%
Venlafaxine,CNCCC(O)c1ccc(O)c(O)c1,Antidepressant,277.34,2.83,3,4,SNRI Antidepressant,Synthetic,Synthetic,5 hours,Liver,30%
Bupropion,CC(=O)C1=CC=CC(=C1)C(C)NCC(O)C,Antidepressant,239.31,3.43,2,2,Atypical Antidepressant,Aminoketone,Synthetic,14-20 hours,Liver,84%
Quetiapine,CCN(CC)CCN1C2=CC=CC=C2SC3=C1C=C(C=C3)N(=O)=O,Antipsychotic,384.50,3.05,1,3,Atypical Antipsychotic,Dibenzothiazepine,Synthetic,6-7 hours,Liver,83%
Topiramate,CC1(C(=O)NC(=O)NC1=O)C(C)(C)C,Anticonvulsant,339.37,1.22,2,4,Anticonvulsant,Sulfamate-Substituted Monosaccharide,Synthetic,20-30 hours,Minimal hepatic,15-20%
Celecoxib,CC1=CC=C(C=C1)C(=O)N(CC(F)(F)F)C1=C(C=CC(=C1)S(=O)(=O)N)C(F)(F)F,COX-2 Inhibitor,381.42,3.98,1,3,Anti-inflammatory,Sulfonamide,Synthetic,11 hours,Liver,97%
Voriconazole,CC1=C(OC(=C1)C2=CC=CC=C2)C(=O)NC3=C(Cl)C=CC(=C3)Cl,Antifungal,349.22,3.57,1,4,Triazole Antifungal,Synthetic,Synthetic,6 hours,Liver,58%
Aripiprazole,CC(C)N1CCN(CC1)CC2=CC=C(C3=CC=CC=C3OC2)C(=O)N,Antipsychotic,448.40,4.29,1,3,Atypical Antipsychotic,Quinolinone,Synthetic,75-146 hours,Liver,99%
Tapentadol,CNC(CC1=CC=CC=C1)C(O)C,Pain Medication,237.31,2.04,2,2,Centrally Acting Analgesic,Synthetic Opioid,Synthetic,4-6 hours,Liver,20%
"Drug Name","Chemical Formula","Category","Molecular Weight","LogP","H-Bond Donors","H-Bond Acceptors","Drug Class","Chemical Class","Origin","Half-Life","Metabolism","Protein Binding"
"Ranitidine","CN(C)C(=N)NCCSC1=CC=CC=C1","Acid Reducer","314.41","0.8","2","5","H2 Receptor Antagonist","Nitromethylene Derivative","Synthetic","2-3 hours","Liver","15%"
"Furosemide","NC1=CC=C(C=C1)S(=O)(=O)C1=CC=CC=C1C(=O)O","Diuretic","330.74","2.2","2","5","Loop Diuretic","Sulfonamide Derivative","Synthetic","6 hours","Liver","95%"
"Loratadine","CN1CCC(=C2C=CC=CC2)CC1","Antihistamine","382.89","5.0","1","2","Second-Generation Antihistamine","Piperidine Derivative","Synthetic","8 hours","Liver","97%"
"Montelukast","CCCCCCCCCCC1=CC(=C(C=C1)CCN(C)C(=O)C2=CC=CC=C2)O","Anti-Asthmatic","586.18","8.5","1","3","Leukotriene Receptor Antagonist","Quinoline Derivative","Synthetic","4-5 hours","Liver","99%"
"Tamsulosin","CCC(C)N1CCC(CC1)C1=CC=CC=C1C(=O)NC1=C(OC)C=C(O)C=C1","Prostate Medication","408.56","3.8","1","3","Alpha-1 Blocker","Sulfonamide Derivative","Synthetic","5-10 hours","Liver","99%"
"Sildenafil","CCCN1C=C(C=C1)C1=NC2=C(N=CN=C2N=C1)C1=CC=CC=C1","Erectile Dysfunction","474.60","2.4","1","4","PDE5 Inhibitor","Pyrazolopyrimidinone","Synthetic","3-5 hours","Liver","96%"
"Valsartan","CC1=C(C(=O)NC1)C1=CC=C(C=C1)C1=CC=CC=C1","Blood Pressure","435.52","4.5","2","3","Angiotensin II Receptor Antagonist","Biphenyl Derivative","Synthetic","6 hours","Liver","95%"
"Dexamethasone","CC1=C2C=CC(=O)C=C2C2(C(CC2(C1=O)C(C)O)C(C)O)O","Anti-Inflammatory","392.46","1.8","3","5","Corticosteroid","Steroid","Synthetic","36-54 hours","Liver","77%"
"Prednisone","CC1C2C(C=CC(=O)C2=O)C2(CC2C1C(O)C(C)O)O","Anti-Inflammatory","358.43","1.5","3","5","Corticosteroid","Steroid","Synthetic","2-3 hours","Liver","70%"
"Alprazolam","C1CN=C2C=CC=CC2=N1C1=CC=C(C=C1)Cl","Anti-Anxiety","308.77","2.5","1","2","Benzodiazepine","Triazolobenzodiazepine","Synthetic","12-15 hours","Liver","80%"
"Lorazepam","C1CN=C(C=C2C=CC=CC2=N1)C1=CC=C(C=C1)O","Anti-Anxiety","321.17","2.7","1","3","Benzodiazepine","1,4-Benzodiazepine","Synthetic","12-14 hours","Liver","85%"
"Diazepam","CN1C2=CC=CC=C2C2=C1C(=O)NC(=O)N2","Anti-Anxiety","284.75","2.8","1","3","Benzodiazepine","1,4-Benzodiazepine","Synthetic","30-60 hours","Liver","98%"
"Methotrexate","CN(C)C(=O)NC1=CC=C(C=C1)CC(=O)O","Immunosuppressant","454.45","-0.9","2","6","Antimetabolite","Folic Acid Analog","Synthetic","8-10 hours","Liver","50%"
"Tamoxifen","CCCOC1=CC=CC=C1C(=CC=C1)C2=CC=CC=C2","Breast Cancer","371.51","4.5","1","2","Estrogen Receptor Modulator","Triphenylethylene","Synthetic","5-7 days","Liver","99%"
"Letrozole","C1=CC=C(C=C1)C1=C(N=CC=N1)C1=CC=C(C=C1)O","Breast Cancer","285.31","2.6","1","3","Aromatase Inhibitor","Triazole Derivative","Synthetic","2-4 days","Liver","99%"
"Fluconazole","C1=CC=C(C=C1)C1=NNC(N1)C1=CC=C(C=C1)F","Antifungal","306.27","0.5","1","5","Azole Antifungal","Triazole Derivative","Synthetic","30 hours","Liver","10-12%"
"Itraconazole","CC1=CC=C(C=C1)C1=C(N=CC=N1)C1=CC=C(C=C1)O","Antifungal","705.64","5.7","1","5","Azole Antifungal","Triazole Derivative","Synthetic","21 hours","Liver","99%"
"Propranolol","CC(C)NCC(O)C1=CC=CC=C1","Beta Blocker","259.34","2.1","2","3","Beta-Adrenergic Blocker","Naphthalene Derivative","Synthetic","3-6 hours","Liver","90%"
"Digoxin","C1C2C(C(O)C1O)O[C@H]2C1C2CC3CC(C2)C(=O)C1=CC3","Heart Medication","780.94","1.3","5","8","Cardiac Glycoside","Steroid","Natural","36-48 hours","Liver/Kidney","25%"
"Isotretinoin","CC1=C(C=CC(=C1)C(=O)O)C(C)C","Acne Treatment","300.44","6.3","1","2","Retinoid","Retinoic Acid","Synthetic","10-20 hours","Liver","99%"
"Drug Name","Chemical Formula","Category","Molecular Weight","LogP","H-Bond Donors","H-Bond Acceptors","Drug Class","Chemical Class","Origin","Half-Life","Metabolism","Protein Binding"
"Amoxicillin","CC1(C(=O)NC(=O)N1C2CCSC2)C(O)C3=CC=C(C=C3)O","Antibiotic","365.41","0.87","3","6","Penicillin Antibiotic","Beta-Lactam","Natural/Synthetic","1-1.5 hours","Liver","20%"
"Ciprofloxacin","C1=CC=C2C(=C1)C(=O)C3(CCNCC3)N2C4=C(C=CC(=C4)F)O","Antibiotic","331.34","-0.31","2","5","Fluoroquinolone Antibiotic","Quinoline Derivative","Synthetic","4 hours","Liver","20-40%"
"Azithromycin","CC1=C(C(=O)O)N2C(C(C(O)CC2)=C1)OC3C(C(C(O)C(O)C3O)N)O","Antibiotic","749.00","3.64","5","12","Macrolide Antibiotic","Macrolide","Natural/Synthetic","68 hours","Liver","51%"
"Doxycycline","CC1C(C(O)C(C(O)C1(C)C)N)OC2C(C(C(O)C(O)C2O)N)O","Antibiotic","444.43","-0.58","5","10","Tetracycline Antibiotic","Tetracycline","Natural/Synthetic","18-22 hours","Liver","80-95%"
"Levofloxacin","C1=CC2=C(C(=C1)C(=O)C3(CCNCC3)N2C4=C(C=CC(=C4)F)O)O","Antibiotic","361.37","-0.41","2","6","Fluoroquinolone Antibiotic","Quinolone","Synthetic","6-8 hours","Liver/Kidney","24-38%"
"Fluconazole","C1=CC=C2C(=C1)N=CN2C3=CC(=CC=C3)O","Antifungal","306.27","0.5","2","4","Azole Antifungal","Triazole","Synthetic","30 hours","Liver","10-12%"
"Ketoconazole","C1=CC=C2C(=C1)N=CN2C3=CC(=CC=C3)OCC","Antifungal","531.44","3.89","2","5","Imidazole Antifungal","Imidazole","Synthetic","8 hours","Liver","99%"
"Itraconazole","C1=CC=C2C(=C1)N=CN2C3=CC(=CC=C3)OCC","Antifungal","705.64","5.66","2","6","Triazole Antifungal","Triazole","Synthetic","24-50 hours","Liver","99%"
"Furosemide","O=C(O)C1=CC2=C(C=C1)NC(=O)C2","Diuretic","330.74","2.03","2","5","Loop Diuretic","Sulfonamide","Synthetic","2 hours","Liver","95%"
"Hydrochlorothiazide","C1=CC(=CC=C1S(=O)(=O)NC(=O)C2=CC=CC=C2)Cl","Diuretic","297.74","-0.07","2","5","Thiazide Diuretic","Sulfonamide","Synthetic","6-15 hours","Liver/Kidney","40-70%"
"Spironolactone","C1CC2=CC(=O)CCC2(C3CCC4(C(C3)CCC5C4CCC5=O)O)C","Diuretic","416.57","2.98","2","4","Potassium-Sparing Diuretic","Steroidal","Synthetic","1.3-2 hours","Liver","90%"
"Digoxin","C1C(C(C(C(C1O)O)O)O)O","Cardiac Glycoside","780.94","1.23","7","12","Heart Failure Treatment","Cardiac Glycoside","Natural","1.5-2 days","Liver","25%"
"Diltiazem","C1=CC2=C(C=C1)N=CN2C3=CC(=CC=C3)OCC","Calcium Channel Blocker","414.54","3.53","1","6","Cardiovascular","Benzothiazepine","Synthetic","3-5 hours","Liver","70-80%"
"Verapamil","C1=CC2=C(C=C1)N=CN2C3=CC(=CC=C3)OCC","Calcium Channel Blocker","454.61","4.39","1","4","Cardiovascular","Phenylalkylamine","Synthetic","2.8-7.4 hours","Liver","90%"
"Nitroglycerin","C1=CC2=C(C=C1)N=CN2C3=CC(=CC=C3)OCC","Vasodilator","227.09","2.5","1","6","Angina Treatment","Nitrate","Synthetic","1-4 minutes","Liver","<20%"
"Isosorbide Mononitrate","C1=CC2=C(C=C1)N=CN2C3=CC(=CC=C3)OCC","Vasodilator","191.14","0.3","1","5","Angina Treatment","Nitrate","Synthetic","5 hours","Liver","5%"
"Warfarin","C1=CC2=C(C=C1)N=CN2C3=CC(=CC=C3)OCC","Anticoagulant","308.33","2.88","1","3","Blood Thinner","Coumarin Derivative","Natural/Synthetic","40 hours","Liver","99%"
"Apixaban","C1=CC2=C(C=C1)N=CN2C3=CC(=CC=C3)OCC","Anticoagulant","459.5","1.1","2","5","Direct Factor Xa Inhibitor","Synthetic","Synthetic","12 hours","Liver","87%"
"Dabigatran","C1=CC2=C(C=C1)N=CN2C3=CC(=CC=C3)OCC","Anticoagulant","471.51","1.6","3","6","Thrombin Inhibitor","Synthetic","Synthetic","12-17 hours","Liver","35%"
"Rivaroxaban","C1=CC2=C(C=C1)N=CN2C3=CC(=CC=C3)OCC","Anticoagulant","435.84","3.47","2","5","Direct Factor Xa Inhibitor","Synthetic","Synthetic","5-9 hours","Liver","95%"
"Fluvoxamine","COC1=CC=C(C=C1)CCNCC2=CC=C(C=C2)F","Antidepressant","318.35","3.12","1","3","SSRI Antidepressant","Aryloxypropylamine","Synthetic","15 hours","Liver","77%"
"Zolpidem","CN(C)C(=O)C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2C","Sedative","307.39","2.95","0","3","Hypnotic","Imidazopyridine","Synthetic","2-3 hours","Liver","92%"
"Risperidone","CC1=CC2=C(C(=O)N(C(=O)N2)C3=CC=CC=C3)C(=C1)C4CCNCC4","Antipsychotic","410.48","3.27","1","4","Atypical Antipsychotic","Benzisoxazole","Synthetic","20 hours","Liver","90%"
"Lansoprazole","CC1=C(C(=O)N2C(=NC=C2)S1)OC3=CC=CC=C3","Acid Reflux Medication","369.36","2.58","1","4","Proton Pump Inhibitor","Benzimidazole","Synthetic","1.5 hours","Liver","97%"
"Gabapentin","C1CCCCC1CC(=O)NCC(O)=O","Anticonvulsant","171.24","0.98","2","3","Antiepileptic","Cyclohexane Derivative","Synthetic","5-7 hours","Kidney","<3%"
"Tramadol","COC1=CC=CC(=C1)C(CN(C)C)C(O)C","Pain Medication","263.38","2.45","1","3","Analgesic","Phenylpropylamine","Synthetic","6 hours","Liver","20%"
"Cetirizine","C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl","Antihistamine","388.89","2.89","1","4","Second-Generation Antihistamine","Piperazine","Synthetic","10 hours","Liver","93%"
"Esomeprazole","COc1cc2c(c(c1)SC(=O)N2C)COC","Acid Reflux Medication","345.41","2.10","1","3","Proton Pump Inhibitor","Benzimidazole","Synthetic","1.5 hours","Liver","97%"
"Clonazepam","C1C2=C(C(=O)NC(=O)N2C3=CC=CC=C3)C4=C1C=C(C=C4)Cl","Anti-Anxiety","315.71","2.41","1","3","Benzodiazepine","1,4-Benzodiazepine","Synthetic","18-50 hours","Liver","85%"
"Ondansetron","CC1=NC2=CC=CC=C2N1C3CCN(C(=O)C3)C","Antiemetic","293.36","2.07","0","3","Antiemetic","Carbazole Derivative","Synthetic","5-6 hours","Liver","76%"
"Trazodone","C1CN(CCN1CC2=CC=CC=C2)C3=NC4=CC=CC=C4N=C3Cl","Antidepressant","371.86","2.78","1","3","SARI Antidepressant","Triazolopyridine","Synthetic","7 hours","Liver","89-95%"
"Buspirone","C1CCN(CC1)C(=O)C2CCN(CC2)C3=NC4=CC=CC=C4N3","Anti-Anxiety","385.50","2.63","0","4","Anxiolytic","Azapirone","Synthetic","2-3 hours","Liver","95%"
"Sumatriptan","CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C","Migraine Medication","295.40","1.17","2","3","Antimigraine","Triptan","Synthetic","2.5 hours","Liver","14-21%"
"Naproxen","COc1ccc2cc(c(c(c2c1)C(C)C(=O)O)C","Anti-inflammatory","230.26","3.18","1","2","NSAID","Propionic Acid Derivative","Synthetic","12-17 hours","Liver","99%"
"Pregabalin","CC(C)CC(C(=O)O)NC","Anticonvulsant","159.23","1.35","2","2","Antiepileptic","Gamma-Aminobutyric Acid Analog","Synthetic","6 hours","Kidney","<1%"
"Zopiclone","CN1C(=O)OC2=C(C=C(C=C2)Cl)N=C(C1)C3=CC=NC=C3","Sedative","388.81","1.89","0","4","Hypnotic","Cyclopyrrolone","Synthetic","5 hours","Liver","45-80%"
"Lamotrigine","C1=CC2=C(C(=C1)Cl)NC(=NC2=N)N","Anticonvulsant","256.09","1.92","2","4","Antiepileptic","Phenyltriazine","Synthetic","25-33 hours","Liver","55%"
"Carvedilol","COC1=CC=CC=C1OCCNCC(O)COC2=CC=CC3=C2C4=CC=CC=C4N3","Beta Blocker","406.47","3.42","2","4","Cardiovascular","Indole Derivative","Synthetic","7-10 hours","Liver","98%"
"Enalapril","CCOC(=O)C1CCCN1C(=O)C(CC2=CC=CC=C2)NC","Hypertension Medication","376.45","0.64","2","4","ACE Inhibitor","Dipeptide","Synthetic","11 hours","Liver/Kidney","50%"
"Bisoprolol","CC(C)NCC(O)COC1=CC=C(C=C1)COCCOC(C)C","Beta Blocker","325.44","1.87","2","4","Cardiovascular","Aryloxypropanolamine","Synthetic","9-12 hours","Liver","30%"
"Vardenafil","CCC1=NC2=C(C(=N1)C3=CC=CC=C3)N(C(=O)C(=O)N2C)CC","Erectile Dysfunction","488.60","2.94","1","4","PDE5 Inhibitor","Imidazotriazinone","Synthetic","4-5 hours","Liver","95%"
"Ezetimibe","C1=CC=C(C=C1)C2(CN(C(=O)C2)C3=CC=C(C=C3)F)OCC4=CC=C(C=C4)F","Cholesterol Medication","409.43","4.56","1","3","Lipid Lowering","Azitidinone","Synthetic","22 hours","Liver","90%"
"Raloxifene","C1CCN(CC1)C(=O)C2=CC3=C(C=C2)SC4=C3C=CC(=C4)O","Osteoporosis Medication","473.58","5.12","1","3","SERM","Benzothiophene","Synthetic","27.7 hours","Liver","95%"
"Memantine","CC12CC3CC(C1)(CC(C3)(C2)N)C","Alzheimer's Medication","179.30","2.07","1","1","NMDA Receptor Antagonist","Adamantane","Synthetic","60-100 hours","Liver","45%"
"Levetiracetam","CCC(C(=O)N)N1CCCC1=O","Anticonvulsant","170.21","0.64","1","2","Antiepileptic","Pyrrolidine","Synthetic","6-8 hours","Minimal","<10%"
"Fexofenadine","CC(C)(C)C1=CC=C(C=C1)C(C2CCN(CC2)C(=O)O)CCO","Antihistamine","501.66","2.81","2","4","Second-Generation Antihistamine","Piperidine","Synthetic","14 hours","Liver","60-70%"
"Terbinafine","CC(C)(C)C#CC=CCN(C)CC1=CC=CC=C1","Antifungal","291.43","5.53","0","1","Allylamine Antifungal","Naphthalene","Synthetic","36 hours","Liver","99%"
"Fluticasone","CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)SCF)O)O)F)F)O","Anti-inflammatory","500.57","3.47","2","6","Corticosteroid","Steroid","Synthetic","10 hours","Liver","99%"
"Mirtazapine","CN1CCN2C(C1)C3=CC=CC=C3C4=C2C=CC=N4","Antidepressant","265.35","3.21","0","3","NaSSA Antidepressant","Tetracyclic","Synthetic","20-40 hours","Liver","85%"
"Allopurinol","C1=NC2=C(N1)C(=O)NC(=N2)O","Gout Medication","136.11","0.55","2","3","Xanthine Oxidase Inhibitor","Pyrazolopyrimidine","Synthetic","1-2 hours","Liver","<1%"
"Tiotropium","C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(C4=CC=CS4)O)[H]","Bronchodilator","472.42","0.89","1","4","Anticholinergic","Quaternary Ammonium","Synthetic","24 hours","Liver","72%"
"Salbutamol","CC(C)(C)NCC(O)C1=CC(=C(C=C1)O)CO","Bronchodilator","239.31","1.42","3","4","Beta-2 Agonist","Phenylethanolamine","Synthetic","4-6 hours","Liver","10%"
"Glimepiride","CCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NCC2CCC(CC2)C","Diabetes Medication","490.62","3.14","2","4","Antidiabetic","Sulfonylurea","Synthetic","5-9 hours","Liver","99%"
"Budesonide","CCC1CC2C3CC(C4=CC(=O)C=CC4(C3C(CC2(C1)O)O)O)O","Anti-inflammatory","430.53","2.78","3","6","Corticosteroid","Steroid","Synthetic","2-3 hours","Liver","85-90%"
"Oxcarbazepine","C1C2=CC=CC=C2N(C3=C1C=CC=C3)C(=O)N","Anticonvulsant","252.27","1.76","1","2","Antiepileptic","Dibenzazepine","Synthetic","9 hours","Liver","40%"
"Clarithromycin","CC1C(C(C(O1)OC2C(OC(C(C2O)O)OCC)C)O)O","Antibiotic","747.95","3.16","4","12","Macrolide Antibiotic","Macrolide","Synthetic","3-7 hours","Liver","42-70%"
"Linezolid","CC(=O)NCC1CN(C(=O)O1)C2=CC=C(C=C2)N3CCOCC3","Antibiotic","337.35","0.91","1","5","Oxazolidinone Antibiotic","Oxazolidinone","Synthetic","5 hours","Liver","31%"
"Oseltamivir","CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC","Antiviral","312.40","1.16","2","4","Antiviral","Neuraminidase Inhibitor","Synthetic","6-10 hours","Liver","3%"
"Acyclovir","C1=NC2=C(N1COCCO)C(=O)NC(=N2)N","Antiviral","225.20","0.23","3","5","Antiviral","Purine Nucleoside","Synthetic","2-3 hours","Kidney","15-30%"
"Candesartan","CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)O","Blood Pressure Medication","440.45","4.12","1","4","Angiotensin II Receptor Antagonist","Benzimidazole","Synthetic","9 hours","Liver","99%"
"Donepezil","CC1=CC(=C(C=C1)OC2CCN(CC2)CC3=CC=CC=C3)C(=O)O","Alzheimer's Medication","379.49","4.21","0","3","Cholinesterase Inhibitor","Piperidine","Synthetic","70 hours","Liver","96%"
"Tadalafil","CN1CC(=O)N2C(C1)C3=C(C=CC4=C3OCO4)NC5=CC=CC=C52","Erectile Dysfunction","389.40","2.36","1","4","PDE5 Inhibitor","Carboline","Synthetic","17.5 hours","Liver","94%"
"Finasteride","CC1C2C(C(C3C2CCC4(C3CCC(=O)N4)C)C)NC1=O","Prostate Medication","372.54","3.03","2","2","5-Alpha Reductase Inhibitor","Steroidal","Synthetic","6-8 hours","Liver","90%"
"Pravastatin","CC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(O)CC(O)CC(=O)O)O","Cholesterol Medication","424.53","1.65","3","6","Lipid Lowering","Statin","Synthetic","2-3 hours","Liver","50%"
"Sitagliptin","CC(C)(C)NC(=O)C1=CC(=C(C=C1)F)CN2C(=O)CC(C2=O)N","Diabetes Medication","407.31","1.84","2","4","Antidiabetic","Dipeptidyl Peptidase-4 Inhibitor","Synthetic","12 hours","Liver","38%"
"Meloxicam","CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3N(C2=O)C)O","Anti-inflammatory","351.40","3.43","1","4","NSAID","Oxicam","Synthetic","20 hours","Liver","99%"
"Ropinirole","CCCN(CCC1=CC=CC2=C1C=CC=C2)C(=O)CC3=CC=CC=C3","Parkinson's Medication","260.37","2.75","1","2","Dopamine Agonist","Indole","Synthetic","6 hours","Liver","40%"
"Alendronate","NCC(CC(O)(P(=O)(O)O)P(=O)(O)O)O","Osteoporosis Medication","249.10","-2.73","5","7","Bisphosphonate","Bisphosphonate","Synthetic","10 hours","Kidney","78%"
"Atomoxetine","CC1=CC=CC=C1OC(CNC)C2=CC=CC=C2","ADHD Medication","255.35","3.12","1","2","Norepinephrine Reuptake Inhibitor","Aryloxypropylamine","Synthetic","5 hours","Liver","98%"
"Loperamide","CC(C)(C)C(=O)N1CCC(CC1)N(C2=CC=C(C=C2)Cl)C(=O)C3=CC=CC=C3","Antidiarrheal","477.04","4.82","1","3","Antidiarrheal","Piperidine","Synthetic","9-14 hours","Liver","97%"
"Triazolam","C1CN=C2C(=NC3=C(C=CC=C3Cl)N2C)C4=C1C=C(C=C4)Cl","Sedative","343.21","2.89","0","3","Benzodiazepine","Triazolobenzodiazepine","Synthetic","1.5-5.5 hours","Liver","89%"
"Zileuton","CC(C)(C)C1=CC2=C(C=C1)SC(=O)N2CC(O)C","Anti-Asthmatic","236.29","2.67","1","3","5-Lipoxygenase Inhibitor","Benzothiophene","Synthetic","2.5 hours","Liver","93%"
"Desloratadine","C1CN(CCC2=C1C(=C3C=CC=CC3)N)C4=CC=C(C=C4)Cl","Antihistamine","310.82","3.45","1","2","Second-Generation Antihistamine","Piperidine","Synthetic","27 hours","Liver","82-87%"
"Rabeprazole","COCCC1=C(C(=O)N2C(=NC=C2)S1)OC3=CC=CC=C3","Acid Reflux Medication","359.44","2.34","1","4","Proton Pump Inhibitor","Benzimidazole","Synthetic","1-2 hours","Liver","96%"
"Valproate","CCC(CCC)C(=O)O","Anticonvulsant","144.21","2.76","1","1","Antiepileptic","Fatty Acid","Synthetic","9-16 hours","Liver","90%"
"Hydroxyzine","C1CN(CCN1CCOCC2=CC=CC=C2)C3=CC=C(C=C3)Cl","Antihistamine","374.90","2.37","1","4","First-Generation Antihistamine","Piperazine","Synthetic","20 hours","Liver","93%"
